order_id,order_date,customer_id,first_name,last_name,email,phone_number,address,zipcode,city,country,product_category,product_name,club,quantity,unit_price,total_amount,payment_method,order_status,discount_code,year_month
ORD-2022-01407239,2022-02-18 10:42:32,CUST-043305,Isa,Eriksson,isa.eriksson.43305@outlook.com,+46 79 796 4331,Kyrkstigen 3,701 21,Örebro,Sweden,Jersey,AIK Hemmatröja 2024,AIK,1,743.0,893.95,Klarna,Delivered,FANCLUB10,2022-02
ORD-2022-00287386,2022-02-18 22:30:18,CUST-055540,Rasmus,Lundkvist,rasmus.lundkvist.55540@telia.se,+46 79 162 9133,Björktorget 09,413 91,Göteborg,Sweden,Training Gear,AIK Jacka,AIK,1,418.0,283.94,Card,Shipped,,2022-02
ORD-2022-01314808,2022-02-20 10:35:45,CUST-109934,Anton,Sjöberg,anton.sjoberg.109934@outlook.com,+46 79 135 5108,Skogsgränd 554,752 05,Uppsala,Sweden,Jersey,SEF Retro Tröja,SEF,1,1017.0,528.4,Klarna,Delivered,,2022-02
ORD-2022-01233749,2022-02-20 18:52:57,CUST-083392,Valdemar,Berggren,valdemar.berggren.83392@spray.se,+46 76 643 9209,Industrigränd 19,503 62,Borås,Sweden,Training Gear,Mjällby AIF Jacka,Mjällby AIF,1,830.0,1424.22,Swish,Delivered,,2022-02
ORD-2022-01065695,2022-02-21 07:09:14,CUST-170929,Jørgen,Thorsen,jørgen.thorsen.170929@yahoo.com,+47 98 95 63 36,Tveitstubben 6,12227,Oslo,Norway,Membership,GIF Sundsvall Familjemedlemskap,GIF Sundsvall,1,450.0,798.63,Card,Delivered,,2022-02
ORD-2022-00545498,2022-02-24 11:23:21,CUST-017417,Carina,Strömberg,carina.stromberg.17417@hotmail.se,+46 73 989 7994,Nygatan 9,121 51,Stockholm,Sweden,Training Gear,Halmstads BK Shorts,Halmstads BK,1,701.0,1101.97,Card,Shipped,WELCOME15,2022-02
ORD-2022-00482555,2022-02-25 15:58:49,CUST-123883,Anna,Jonsson,anna.jonsson.123883@gmail.com,+46 72 370 0012,Parkvägen 365,100 53,Stockholm,Sweden,Jersey,Häcken Hemmatröja 2024,Häcken,2,713.0,1978.85,Card,Delivered,,2022-02
ORD-2022-00566989,2022-02-26 09:44:21,CUST-061878,Peter,Friberg,peter.friberg.61878@hotmail.se,+46 76 529 5132,Ringvägen 67,725 18,Västerås,Sweden,Scarf,Sirius Matchhalsduk,Sirius,1,273.0,196.26,Swish,Shipped,,2022-02
ORD-2022-00341087,2022-02-27 08:36:30,CUST-196661,Jessica,Hill,jessica.hill.196661@gmail.com,(209)435-3561x34369,776 Porter Courts,47248,Antwerpen,Belgium,Training Gear,Malmö FF Träningströja,Malmö FF,1,615.0,571.28,Swish,Shipped,,2022-02
ORD-2022-00199880,2022-02-28 12:24:43,CUST-098680,Sophie,Häggström,sophie.haggstrom.98680@hotmail.se,+46 70 854 6570,Ängsgatan 8,212 87,Malmö,Sweden,Scarf,Malmö FF Halsduk,Malmö FF,1,282.0,144.54,Card,Delivered,,2022-02
ORD-2022-01173737,2022-03-05 18:37:14,CUST-066051,Lilian,Johansson,lilian.johansson.66051@hotmail.se,+46 76 827 6727,Trädgårdsvägen 89,418 86,Göteborg,Sweden,Training Gear,Häcken Träningsbyxor,Häcken,1,324.0,240.9,Card,Delivered,VÅRSTART,2022-03
ORD-2022-00825656,2022-03-07 11:41:32,CUST-086982,Tyra,Mårtensson,tyra.martensson.86982@spray.se,+46 76 756 4458,Stationsstigen 669,303 83,Halmstad,Sweden,Accessories,Malmö FF Nyckelring,Malmö FF,1,55.0,51.68,Card,Delivered,,2022-03
ORD-2022-00239980,2022-03-07 15:16:14,CUST-004541,Michael,Lundell,michael.lundell.4541@spray.se,+46 79 964 3043,Gengatan 69,414 28,Göteborg,Sweden,Jersey,IFK Göteborg Bortatröja 2024,IFK Göteborg,1,1069.0,611.7,Swish,Processing,,2022-03
ORD-2022-00123676,2022-03-11 22:29:11,CUST-020027,Mattias,Andersson,mattias.andersson.20027@hotmail.se,+46 72 398 2242,Björkgränd 267,115 20,Stockholm,Sweden,Digital Content,SEF Wallpaper Pack,SEF,7,69.0,548.67,Card,Delivered,,2022-03
ORD-2022-00076849,2022-03-12 12:05:02,CUST-003823,Martin,Karlsson,martin.karlsson.3823@hotmail.se,+46 79 139 0056,Kyrkstigen 0,116 61,Stockholm,Sweden,Training Gear,AIK Träningsbyxor,AIK,1,399.0,597.3,Klarna,Shipped,VÅRSTART,2022-03
ORD-2022-00639675,2022-03-13 11:23:04,CUST-071438,Åke,Gustavsson,ake.gustavsson.71438@spray.se,+46 72 957 3218,Industristigen 88,123 49,Stockholm,Sweden,Jersey,Djurgårdens IF Hemmatröja 2024,Djurgårdens IF,1,854.0,1351.09,Card,Delivered,,2022-03
ORD-2022-00223887,2022-03-15 14:11:10,CUST-196882,Terri,Romero,terri.romero.196882@outlook.com,001-782-841-1620x8053,1218 Mary Neck,85497,Bruxelles,Belgium,Training Gear,Häcken Träningströja,Häcken,1,896.0,449.63,Swish,Shipped,VÅRSTART,2022-03
ORD-2022-00843568,2022-03-19 16:59:21,CUST-054278,Liam,Lundgren,liam.lundgren.54278@outlook.com,+46 79 833 4077,Ekstigen 73,121 48,Stockholm,Sweden,Jersey,Malmö FF Bortatröja 2024,Malmö FF,1,1263.0,1167.67,Card,Delivered,,2022-03
ORD-2022-00484366,2022-03-26 20:30:12,CUST-038433,Lydia,Hasan,lydia.hasan.38433@spray.se,+46 72 482 8333,Idrottsstigen 028,729 27,Visby,Sweden,Accessories,AIK Mugg,AIK,1,226.0,198.29,Swish,Delivered,,2022-03
ORD-2022-00521422,2022-04-04 11:19:04,CUST-025065,Ida,Hansen,ida.hansen.25065@telia.se,+46 70 125 5578,Idrottsgatan 564,118 37,Stockholm,Sweden,Scarf,Djurgårdens IF Vinterskarf,Djurgårdens IF,2,296.0,597.97,Card,Delivered,,2022-04
ORD-2022-00042832,2022-04-07 10:43:25,CUST-121851,Ann-Christin,Pettersson,ann-christin.pettersson.121851@outlook.com,+46 79 205 1703,Björktorget 76,215 17,Malmö,Sweden,Membership,Kalmar FF Medlemskap,Kalmar FF,2,731.0,2454.05,Swish,Shipped,,2022-04
ORD-2022-01199893,2022-04-10 18:06:37,CUST-088815,Linnea,Svensson,linnea.svensson.88815@hotmail.se,+46 76 157 0791,Skolstigen 36,755 06,Uppsala,Sweden,Scarf,Sirius Halsduk,Sirius,1,392.0,498.38,Klarna,Delivered,,2022-04
ORD-2022-01208859,2022-04-15 20:04:08,CUST-112471,Marie,Persson,marie.persson.112471@outlook.com,+46 73 351 8812,Idrottsgatan 020,400 51,Göteborg,Sweden,Training Gear,Häcken Träningströja,Häcken,3,647.0,1123.11,Card,Delivered,VÅRSTART,2022-04
ORD-2022-00726071,2022-04-16 18:16:28,CUST-195454,Sherri,Lee,sherri.lee.195454@yahoo.com,(703)658-7541x07184,4697 Laura Valley Apt. 235,89352,Berlin,Germany,Scarf,IFK Norrköping Vinterskarf,IFK Norrköping,1,348.0,422.95,Card,Cancelled,,2022-04
ORD-2022-01428273,2022-04-18 11:13:04,CUST-119915,Elisabet,Bengtsson,elisabet.bengtsson.119915@outlook.com,+46 76 937 0140,Åkergränd 766,120 37,Stockholm,Sweden,Training Gear,Hammarby IF Jacka,Hammarby IF,1,401.0,279.62,PayPal,Delivered,VÅRSTART,2022-04
ORD-2022-00521354,2022-04-18 17:44:58,CUST-128347,Annika,Engström,annika.engstrom.128347@outlook.com,+46 73 405 4374,Villavägen 14,123 92,Stockholm,Sweden,Scarf,AIK Vinterskarf,AIK,1,257.0,230.72,Card,Delivered,,2022-04
ORD-2022-00401033,2022-04-19 21:08:00,CUST-074991,Maria,Holmqvist,maria.holmqvist.74991@gmail.com,+46 70 660 0366,Järnvägsvägen 2,215 61,Malmö,Sweden,Digital Content,SEF Allsvenskan Streaming,Sirius,1,110.0,121.73,Card,Delivered,,2022-04
ORD-2022-01332758,2022-04-24 20:26:18,CUST-172005,Bente,Jenssen,bente.jenssen.172005@yahoo.com,93986703,Tangenmarka 45F,84639,Trondheim,Norway,Jersey,Hammarby IF Hemmatröja 2024,Hammarby IF,1,1290.0,1719.6,Card,Processing,,2022-04
ORD-2022-00797238,2022-04-25 22:37:58,CUST-069518,Carin,Nilsson,carin.nilsson.69518@gmail.com,+46 79 263 7669,Strandgatan 28,217 72,Malmö,Sweden,Match Ticket,Djurgårdens IF VIP-biljett,Djurgårdens IF,3,237.0,1050.93,Swish,Delivered,,2022-04
ORD-2022-01336105,2022-04-26 18:23:52,CUST-196470,Danielle,Bowers,danielle.bowers.196470@outlook.com,001-849-798-1019x7468,7702 Lara Tunnel,92904,Madrid,Spain,Accessories,GIF Sundsvall Mugg,GIF Sundsvall,2,299.0,418.68,Swish,Delivered,VÅRSTART,2022-04
ORD-2022-00283423,2022-04-29 11:07:45,CUST-044784,Edvin,Engström,edvin.engstrom.44784@spray.se,+46 76 994 2036,Industristigen 187,752 62,Uppsala,Sweden,Jersey,Sirius Hemmatröja 2024,Sirius,1,1091.0,558.3,Klarna,Returned,,2022-04
ORD-2022-01167981,2022-04-30 07:56:40,CUST-171563,Elin,Svendsen,elin.svendsen.171563@gmail.com,14061177,Pettersenbråten 31,99189,Bergen,Norway,Training Gear,Hammarby IF Jacka,Hammarby IF,1,310.0,549.93,Card,Delivered,,2022-04
ORD-2022-01412251,2022-05-02 14:16:33,CUST-022369,Britt,Persson,britt.persson.22369@hotmail.se,+46 79 133 3235,Skolvägen 512,217 53,Östersund,Sweden,Jersey,Sirius Retro Tröja,Sirius,1,1242.0,2224.03,Klarna,Delivered,,2022-05
ORD-2022-00187028,2022-05-07 15:42:52,CUST-192379,Kristina,Thompson,kristina.thompson.192379@gmail.com,885.420.3840x36589,1273 Benjamin Ports Suite 806,73055,Reykjavík,Iceland,Season Pass,Malmö FF Säsongskort VIP 2024,Malmö FF,1,2357.0,2514.27,Card,Returned,WELCOME15,2022-05
ORD-2022-00401939,2022-05-08 20:01:52,CUST-031355,Sigvard,Martinsson,sigvard.martinsson.31355@outlook.com,+46 76 992 0789,Nygatan 978,123 11,Stockholm,Sweden,Match Ticket,Djurgårdens IF Familjebiljett,Djurgårdens IF,1,424.0,560.51,Swish,Delivered,WELCOME15,2022-05
ORD-2022-00793719,2022-05-15 18:07:57,CUST-191212,Kenneth,Weiss,kenneth.weiss.191212@gmail.com,867-555-9411x17612,579 Bethany Place,40568,Berlin,Germany,Match Ticket,Malmö FF Matchbiljett,Malmö FF,1,351.0,187.12,Swish,Delivered,,2022-05
ORD-2022-00474308,2022-05-26 14:53:23,CUST-081192,Erik,Sjöström,erik.sjostrom.81192@hotmail.se,+46 70 866 3250,Skolgatan 3,211 51,Malmö,Sweden,Scarf,Malmö FF Matchhalsduk,Malmö FF,1,239.0,257.61,Card,Delivered,WELCOME15,2022-05
ORD-2022-00783775,2022-05-27 13:29:30,CUST-131325,Margareta,Lind,margareta.lind.131325@spray.se,+46 70 730 1690,Stortorget 411,416 05,Göteborg,Sweden,Accessories,Djurgårdens IF Nyckelring,Djurgårdens IF,1,214.0,229.57,Swish,Delivered,WELCOME15,2022-05
ORD-2022-00574848,2022-05-31 10:48:51,CUST-084201,Inger,Eriksson,inger.eriksson.84201@telia.se,+46 76 943 0689,Furugränd 52,756 51,Uppsala,Sweden,Match Ticket,IF Elfsborg Matchbiljett,IF Elfsborg,1,580.0,777.08,Card,Delivered,WELCOME15,2022-05
ORD-2022-01341274,2022-05-31 22:29:22,CUST-141040,Vera,Andersson,vera.andersson.141040@hotmail.se,+46 72 490 3629,Kvarngränd 0,126 23,Stockholm,Sweden,Digital Content,AIK Matchprogram Digital,AIK,2,111.0,229.78,Swish,Delivered,,2022-05
ORD-2022-00728503,2022-06-05 10:27:57,CUST-041913,Olof,Sundin,olof.sundin.41913@telia.se,+46 76 603 4182,Parktorget 1,468 50,Gävle,Sweden,Scarf,IFK Göteborg Matchhalsduk,IFK Göteborg,2,244.0,315.53,Klarna,Shipped,,2022-06
ORD-2022-00094477,2022-06-07 14:58:02,CUST-148542,Siv,Larsson,siv.larsson.148542@gmail.com,+46 72 839 7104,Strandgatan 880,121 20,Stockholm,Sweden,Jersey,AIK Tredjetröja 2024,AIK,1,989.0,627.79,Invoice,Processing,,2022-06
ORD-2022-00039754,2022-06-10 20:04:05,CUST-086426,Oscar,Skoglund,oscar.skoglund.86426@gmail.com,+46 73 725 5744,Aspvägen 27,127 91,Stockholm,Sweden,Jersey,AIK Bortatröja 2024,AIK,3,1060.0,3872.11,Card,Returned,,2022-06
ORD-2022-00226606,2022-06-11 20:05:47,CUST-094351,Tomas,Lundberg,tomas.lundberg.94351@spray.se,+46 76 339 8266,Strandtorget 2,418 80,Göteborg,Sweden,Training Gear,IFK Göteborg Träningsbyxor,IFK Göteborg,1,828.0,1426.69,Klarna,Processing,SOMMAR25,2022-06
ORD-2022-00433379,2022-06-12 10:49:42,CUST-007860,Lars,Simonsson,lars.simonsson.7860@telia.se,+46 73 195 5352,Ängsgatan 0,116 88,Stockholm,Sweden,Jersey,Häcken Retro Tröja,Häcken,2,876.0,1052.53,Swish,Delivered,,2022-06
ORD-2022-00674196,2022-06-16 11:25:46,CUST-117065,Britt-Mari,Dahlberg,britt-mari.dahlberg.117065@telia.se,+46 72 493 3700,Åkervägen 9,703 10,Örebro,Sweden,Digital Content,SEF Allsvenskan Streaming,IFK Göteborg,1,170.0,229.59,Card,Delivered,MIDSOMMAR,2022-06
ORD-2022-01084484,2022-06-19 21:09:04,CUST-005126,Christina,Jonsson,christina.jonsson.5126@hotmail.se,+46 79 289 7606,Ängsvägen 26,852 94,Sundsvall,Sweden,Digital Content,Malmö FF Wallpaper Pack,Malmö FF,2,50.0,146.03,Klarna,Delivered,WELCOME15,2022-06
ORD-2022-00713901,2022-06-24 09:04:17,CUST-179711,Amalie,Carlsen,amalie.carlsen.179711@yahoo.com,70 06 32 16,Skensvedgade 80,38040,Aarhus,Denmark,Accessories,Malmö FF Ryggsäck,Malmö FF,1,203.0,361.52,Swish,Delivered,,2022-06
ORD-2022-00922807,2022-06-24 20:59:45,CUST-162143,Emanuel,Ferm,emanuel.ferm.162143@outlook.com,+46 79 656 0336,Idrottsgränd 0,111 17,Stockholm,Sweden,Jersey,Djurgårdens IF Tredjetröja 2024,Djurgårdens IF,2,1234.0,3616.29,Swish,Delivered,,2022-06
ORD-2022-01394946,2022-06-26 13:11:49,CUST-068400,Stellan,Hansson,stellan.hansson.68400@hotmail.se,+46 79 971 6265,Parkgatan 9,903 26,Umeå,Sweden,Accessories,AIK Mugg,AIK,3,306.0,815.27,Card,Delivered,SOMMAR25,2022-06
ORD-2022-00727502,2022-07-02 07:26:03,CUST-032115,Britta,Lindberg,britta.lindberg.32115@gmail.com,+46 70 848 7595,Furugränd 657,755 65,Uppsala,Sweden,Digital Content,Häcken Wallpaper Pack,Häcken,1,145.0,182.49,Klarna,Delivered,,2022-07
ORD-2022-01140667,2022-07-02 08:31:17,CUST-048902,Mattias,Öberg,mattias.oberg.48902@spray.se,+46 72 330 1063,Åkertorget 28,407 87,Eskilstuna,Sweden,Training Gear,Värnamo Träningströja,Värnamo,2,423.0,436.93,Klarna,Delivered,FANCLUB10,2022-07
ORD-2022-00987328,2022-07-06 17:27:46,CUST-059533,Bengt,Björk,bengt.bjork.59533@gmail.com,+46 79 417 6424,Idrottsvägen 9,211 06,Malmö,Sweden,Season Pass,IFK Göteborg Säsongskort 2024,IFK Göteborg,1,4523.0,7234.57,Card,Delivered,,2022-07
ORD-2022-01176075,2022-07-10 16:51:44,CUST-176574,Cynthia,Holt,cynthia.holt.176574@yahoo.com,001-452-961-4491x1977,1888 Webb Bridge Apt. 670,29478,Helsinki,Finland,Jersey,Degerfors IF Tredjetröja 2024,Degerfors IF,1,758.0,480.05,Klarna,Delivered,,2022-07
ORD-2022-00856564,2022-07-12 09:44:13,CUST-016061,Per-Erik,Karlsson,per-erik.karlsson.16061@hotmail.se,+46 70 640 1686,Furuvägen 864,120 70,Stockholm,Sweden,Training Gear,SEF Träningströja,SEF,2,618.0,1343.38,Card,Delivered,SOMMAR25,2022-07
ORD-2022-00565342,2022-07-12 10:29:36,CUST-133910,Kerstin,Olsson,kerstin.olsson.133910@outlook.com,+46 76 975 1639,Skogstorget 52,217 50,Malmö,Sweden,Training Gear,GIF Sundsvall Träningströja,GIF Sundsvall,3,568.0,2349.74,Swish,Delivered,,2022-07
ORD-2022-00248960,2022-07-12 11:23:09,CUST-124509,Maria,Nilsson,maria.nilsson.124509@gmail.com,+46 72 626 4612,Kyrkvägen 312,217 59,Malmö,Sweden,Season Pass,Malmö FF Säsongskort 2024,Malmö FF,1,2398.0,2184.95,Klarna,Delivered,,2022-07
ORD-2022-00845362,2022-07-17 11:56:47,CUST-116695,Elisabeth,Ericsson,elisabeth.ericsson.116695@spray.se,+46 73 432 5517,Skogsvägen 9,412 25,Göteborg,Sweden,Match Ticket,SEF Matchbiljett,SEF,1,305.0,253.81,Invoice,Delivered,,2022-07
ORD-2022-00407355,2022-07-17 19:09:30,CUST-038202,Jane,Skoog,jane.skoog.38202@spray.se,+46 70 258 0189,Skolgränd 809,214 15,Malmö,Sweden,Digital Content,SEF Allsvenskan Streaming,Malmö FF,2,61.0,202.68,Card,Delivered,,2022-07
ORD-2022-00106596,2022-07-17 19:40:05,CUST-020996,Jörgen,Lundström,jorgen.lundstrom.20996@outlook.com,+46 72 793 0187,Kvarnvägen 65,113 24,Stockholm,Sweden,Training Gear,IFK Göteborg Jacka,IFK Göteborg,1,630.0,593.53,Card,Delivered,FANCLUB10,2022-07
ORD-2022-00786950,2022-07-19 15:28:15,CUST-051495,Josefin,Sjöstrand,josefin.sjostrand.51495@spray.se,+46 72 771 1241,Stortorget 5,411 87,Göteborg,Sweden,Training Gear,Djurgårdens IF Shorts,Djurgårdens IF,1,518.0,872.92,Swish,Delivered,SOMMAR25,2022-07
ORD-2022-01093370,2022-07-19 17:16:30,CUST-067367,Thomas,Eklund,thomas.eklund.67367@hotmail.se,+46 79 499 5556,Åkertorget 7,127 70,Stockholm,Sweden,Scarf,Halmstads BK Vinterskarf,Halmstads BK,1,260.0,431.83,Card,Delivered,,2022-07
ORD-2022-00315428,2022-07-20 20:04:32,CUST-086985,Marianne,Sjödin,marianne.sjodin.86985@telia.se,+46 79 919 0571,Parktorget 408,552 60,Jönköping,Sweden,Jersey,IF Elfsborg Retro Tröja,IF Elfsborg,1,1013.0,1812.09,Card,Delivered,,2022-07
ORD-2022-01382077,2022-07-21 19:55:02,CUST-026293,Amanda,Fagerström,amanda.fagerstrom.26293@spray.se,+46 76 729 9334,Ängsgränd 995,416 72,Göteborg,Sweden,Training Gear,Malmö FF Träningsbyxor,Malmö FF,3,758.0,2075.42,Klarna,Returned,,2022-07
ORD-2022-00423171,2022-07-21 22:31:54,CUST-125498,Michael,Karlsson,michael.karlsson.125498@hotmail.se,+46 72 919 6093,Stationsvägen 5,416 40,Göteborg,Sweden,Training Gear,IF Elfsborg Träningsbyxor,IF Elfsborg,2,443.0,1547.38,Swish,Returned,,2022-07
ORD-2022-01018872,2022-07-22 14:44:02,CUST-094439,Olov,Ek,olov.ek.94439@hotmail.se,+46 70 816 0055,Bäckvägen 8,764 18,Östersund,Sweden,Jersey,IF Elfsborg Hemmatröja 2024,IF Elfsborg,2,1018.0,2245.99,Card,Delivered,,2022-07
ORD-2022-00791319,2022-07-24 19:14:08,CUST-086523,Milan,Blomkvist,milan.blomkvist.86523@hotmail.se,+46 70 233 1370,Ekvägen 58,127 12,Stockholm,Sweden,Training Gear,SEF Träningströja,SEF,1,481.0,560.78,Klarna,Delivered,,2022-07
ORD-2022-00980018,2022-07-25 22:59:02,CUST-086304,Sten,Ali,sten.ali.86304@spray.se,+46 79 491 8030,Nygränd 33,111 87,Stockholm,Sweden,Training Gear,AIK Shorts,AIK,1,413.0,394.61,Swish,Delivered,,2022-07
ORD-2022-00078748,2022-07-26 10:34:41,CUST-046718,Therese,Hansson,therese.hansson.46718@hotmail.se,+46 73 464 9430,Ängstorget 5,501 45,Borås,Sweden,Training Gear,Djurgårdens IF Shorts,Djurgårdens IF,2,798.0,1901.0,Klarna,Delivered,WELCOME15,2022-07
ORD-2022-00548028,2022-07-30 22:23:58,CUST-108423,Margareta,Bergström,margareta.bergstrom.108423@hotmail.se,+46 79 259 9352,Trädgårdstorget 46,121 41,Stockholm,Sweden,Jersey,Mjällby AIF Hemmatröja 2024,Mjällby AIF,1,736.0,525.97,Card,Returned,,2022-07
ORD-2022-00234307,2022-07-31 10:46:10,CUST-007583,Ingemar,Sandberg,ingemar.sandberg.7583@spray.se,+46 70 697 6626,Stationsvägen 9,901 39,Umeå,Sweden,Scarf,SEF Halsduk,SEF,1,222.0,318.31,Swish,Delivered,SOMMAR25,2022-07
ORD-2022-00851379,2022-07-31 14:29:53,CUST-182184,Camilla,Olesen,camilla.olesen.182184@outlook.com,+45 3411 9309,Rosengade 822,60747,Aarhus,Denmark,Training Gear,IFK Göteborg Jacka,IFK Göteborg,2,698.0,1242.05,Swish,Delivered,,2022-07
ORD-2022-01141070,2022-07-31 15:36:19,CUST-126955,Robin,Persson,robin.persson.126955@hotmail.se,+46 70 320 7834,Furutorget 68,122 21,Stockholm,Sweden,Membership,Malmö FF Familjemedlemskap,Malmö FF,2,354.0,1133.51,Swish,Delivered,WELCOME15,2022-07
ORD-2022-00172976,2022-08-05 17:38:32,CUST-144521,Rolf,Sjögren,rolf.sjogren.144521@hotmail.se,+46 79 520 2217,Parkgränd 30,214 04,Malmö,Sweden,Training Gear,Djurgårdens IF Shorts,Djurgårdens IF,4,402.0,1692.06,Swish,Delivered,BACKTOSCHOOL,2022-08
